trajectory_index,time_steps,state,action,next_state,reward,done,ds_value
0,0,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.009186813607811928, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.07410921156406403, 0.0, 0.012500000186264515, 0.0, 1.0, 0.22535739839076996, 0.6666666865348816, 0.024835435673594475, 0.0, 1.0, 0.392752468585968, 0.6666666865348816, 0.012630371376872063, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.01164318062365055, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.07660921663045883, 0.0, 0.012500000186264515, 0.0, 1.0, 0.23032449185848236, 0.6666666865348816, 0.0210424792021513, 0.0, 1.0, 0.39527854323387146, 0.6666666865348816, 0.01670287922024727, 0.0, 0.0, 1.0]",0.5,False,0.263251953125
0,1,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.01164318062365055, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.07660921663045883, 0.0, 0.012500000186264515, 0.0, 1.0, 0.23032449185848236, 0.6666666865348816, 0.0210424792021513, 0.0, 1.0, 0.39527854323387146, 0.6666666865348816, 0.01670287922024727, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.0140995467081666, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.07910921424627304, 0.0, 0.012500000186264515, 0.0, 1.0, 0.23453298211097717, 0.6666666865348816, 0.019521839916706085, 0.0, 1.0, 0.398619145154953, 0.6666666865348816, 0.020534604787826538, 0.0, 0.0, 1.0]",0.5,False,0.253427734375
0,2,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.0140995467081666, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.07910921424627304, 0.0, 0.012500000186264515, 0.0, 1.0, 0.23453298211097717, 0.6666666865348816, 0.019521839916706085, 0.0, 1.0, 0.398619145154953, 0.6666666865348816, 0.020534604787826538, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.016555914655327797, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.08160921186208725, 0.0, 0.012500000186264515, 0.0, 1.0, 0.23842306435108185, 0.6515198945999146, 0.018887808546423912, -0.010479746386408806, 1.0, 0.40272605419158936, 0.6666666865348816, 0.024119673296809196, 0.0, 0.0, 1.0]",0.5,False,0.243603515625
0,3,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.016555914655327797, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.08160921186208725, 0.0, 0.012500000186264515, 0.0, 1.0, 0.23842306435108185, 0.6515198945999146, 0.018887808546423912, -0.010479746386408806, 1.0, 0.40272605419158936, 0.6666666865348816, 0.024119673296809196, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.01901227980852127, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.08410921692848206, 0.0, 0.012500000186264515, 0.0, 1.0, 0.24220062792301178, 0.6165874600410461, 0.01933348923921585, -0.010512205772101879, 1.0, 0.40754997730255127, 0.6666666865348816, 0.027455201372504234, 0.0, 0.0, 1.0]",0.5,False,0.2337744140625
0,4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.01901227980852127, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.08410921692848206, 0.0, 0.012500000186264515, 0.0, 1.0, 0.24220062792301178, 0.6165874600410461, 0.01933348923921585, -0.010512205772101879, 1.0, 0.40754997730255127, 0.6666666865348816, 0.027455201372504234, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.021468646824359894, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.08660921454429626, 0.0, 0.012500000186264515, 0.0, 1.0, 0.24606731534004211, 0.5815467238426208, 0.02028825879096985, -0.010581744834780693, 1.0, 0.41304102540016174, 0.6666666865348816, 0.030541397631168365, 0.0, 0.0, 1.0]",0.5,False,0.2239501953125
0,5,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.021468646824359894, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.08660921454429626, 0.0, 0.012500000186264515, 0.0, 1.0, 0.24606731534004211, 0.5815467238426208, 0.02028825879096985, -0.010581744834780693, 1.0, 0.41304102540016174, 0.6666666865348816, 0.030541397631168365, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.023925013840198517, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.08910921216011047, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2501249611377716, 0.5462742447853088, 0.021562134847044945, -0.010674525052309036, 1.0, 0.4191493093967438, 0.6666666865348816, 0.03338143602013588, 0.0, 0.0, 1.0]",0.5,False,0.2141259765625
0,6,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.023925013840198517, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.08910921216011047, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2501249611377716, 0.5462742447853088, 0.021562134847044945, -0.010674525052309036, 1.0, 0.4191493093967438, 0.6666666865348816, 0.03338143602013588, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.02638138085603714, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.09160921722650528, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2544373869895935, 0.5106925368309021, 0.023028505966067314, -0.010781324468553066, 1.0, 0.4258255958557129, 0.6666666865348816, 0.035981230437755585, 0.0, 0.0, 1.0]",0.5,False,0.2043017578125
0,7,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.02638138085603714, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.09160921722650528, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2544373869895935, 0.5106925368309021, 0.023028505966067314, -0.010781324468553066, 1.0, 0.4258255958557129, 0.6666666865348816, 0.035981230437755585, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.028837747871875763, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.09410921484231949, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2590430974960327, 0.47475478053092957, 0.02459954470396042, -0.010895747691392899, 1.0, 0.4330218434333801, 0.6666666865348816, 0.03834911063313484, 0.0, 0.0, 1.0]",0.5,False,0.19447265625
0,8,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.028837747871875763, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.09410921484231949, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2590430974960327, 0.47475478053092957, 0.02459954470396042, -0.010895747691392899, 1.0, 0.4330218434333801, 0.6666666865348816, 0.03834911063313484, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.031294114887714386, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.0966092124581337, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2639630138874054, 0.4384356141090393, 0.027887815609574318, -0.011135241016745567, 1.0, 0.44069164991378784, 0.6666666865348816, 0.04042612016201019, 0.0, 0.0, 1.0]",0.5,False,0.1846484375
0,9,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.031294114887714386, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.0966092124581337, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2639630138874054, 0.4384356141090393, 0.027887815609574318, -0.011135241016745567, 1.0, 0.44069164991378784, 0.6666666865348816, 0.04042612016201019, 0.0, 0.0, 1.0]",4,"[1.0, 1.0, 0.0, 0.125, 0.0, 1.0, 0.03375048190355301, 0.3333333432674408, 0.01228183414787054, 0.0, 1.0, 0.0991092175245285, 0.0, 0.012500000186264515, 0.0, 1.0, 0.2695954740047455, 0.4173600375652313, 0.03132003918290138, 0.0006897488492541015, 1.0, 0.44877690076828003, 0.6666666865348816, 0.04221727326512337, 0.0, 0.0, 1.0]",0.5,False,0.17482421875
